2018-10-21 18:56:46,318 [INFO] {'unroll_length': 50, 'num_layers': 2, 'batch_norm': True, 'discount_factor': 0.97, 'opt_direction': 'max', 'num_epochs': 10000, 'log_period': 100, 'num_params': 82, 'reuse': False, 'learning_rate': 0.001, 'constraints': False, 'reaction_type': 'quad', 'optimizer': 'Adam', 'hidden_size': 128, 'log_path': './log/', 'save_path': './ckpt/8_dim_quad/h128_s50_srnn/', 'policy': 'srnn', 'batch_size': 128, 'instrument_error': None, 'evaluation_period': 1000, 'evaluation_epochs': 20, 'loss_type': 'oi', 'norm_cov': 0.3, 'num_steps': 50}
2018-10-21 18:57:11,755 [INFO] {'policy': 'srnn', 'num_layers': 2, 'save_path': './ckpt/8_dim_quad/h128_s50_srnn/', 'num_steps': 50, 'batch_size': 128, 'evaluation_epochs': 20, 'norm_cov': 0.3, 'instrument_error': None, 'opt_direction': 'max', 'optimizer': 'Adam', 'constraints': False, 'log_period': 100, 'num_epochs': 10000, 'discount_factor': 0.97, 'evaluation_period': 1000, 'hidden_size': 128, 'learning_rate': 0.001, 'reuse': False, 'loss_type': 'oi', 'unroll_length': 50, 'reaction_type': 'quad', 'num_params': 82, 'batch_norm': True, 'log_path': './log/'}
2018-10-21 18:58:37,230 [INFO] {'save_path': './ckpt/8_dim_quad/h128_s50_srnn/', 'log_period': 100, 'learning_rate': 0.001, 'optimizer': 'Adam', 'opt_direction': 'max', 'instrument_error': None, 'num_params': 82, 'num_epochs': 10000, 'num_layers': 2, 'unroll_length': 50, 'batch_size': 128, 'reaction_type': 'quad', 'reuse': False, 'evaluation_period': 1000, 'hidden_size': 128, 'loss_type': 'oi', 'log_path': './log/', 'discount_factor': 0.97, 'policy': 'srnn', 'evaluation_epochs': 20, 'constraints': False, 'num_steps': 50, 'norm_cov': 0.3, 'batch_norm': False}
2018-10-21 18:58:39,081 [INFO] Reading model parameters from ./ckpt/8_dim_quad/h128_s50_srnn/-7999.
2018-10-21 18:58:39,081 [INFO] Restoring parameters from ./ckpt/8_dim_quad/h128_s50_srnn/-7999
2018-10-21 19:00:03,920 [INFO] {'learning_rate': 0.001, 'reuse': False, 'num_layers': 2, 'discount_factor': 0.97, 'hidden_size': 128, 'constraints': False, 'evaluation_period': 1000, 'evaluation_epochs': 20, 'num_epochs': 10000, 'norm_cov': 0.3, 'num_steps': 50, 'batch_norm': True, 'log_period': 100, 'loss_type': 'oi', 'opt_direction': 'max', 'num_params': 82, 'log_path': './log/', 'batch_size': 128, 'policy': 'srnn', 'optimizer': 'Adam', 'instrument_error': None, 'reaction_type': 'quad', 'unroll_length': 50, 'save_path': './ckpt/8_dim_quad/h128_s50_srnn/'}
2018-10-21 19:00:27,490 [INFO] {'log_period': 100, 'optimizer': 'Adam', 'num_params': 82, 'hidden_size': 128, 'reaction_type': 'quad', 'policy': 'srnn', 'log_path': './log/', 'opt_direction': 'max', 'num_steps': 50, 'num_layers': 2, 'discount_factor': 0.97, 'loss_type': 'oi', 'instrument_error': None, 'norm_cov': 0.3, 'batch_norm': False, 'num_epochs': 10000, 'batch_size': 128, 'evaluation_epochs': 20, 'reuse': False, 'constraints': False, 'evaluation_period': 1000, 'save_path': './ckpt/8_dim_quad/h128_s50_srnn/', 'learning_rate': 0.001, 'unroll_length': 50}
2018-10-21 19:00:29,356 [INFO] Creating Model with fresh parameters.
2018-10-21 19:40:14,455 [INFO] Epoch 3899, Mean Error: -0.092
2018-10-21 19:41:14,929 [INFO] Epoch 3999, Mean Error: -0.093
2018-10-21 19:41:26,951 [INFO] EVALUATION, Mean Error: -0.096
2018-10-21 19:41:26,951 [INFO] Save current model ...
2018-10-21 19:42:27,609 [INFO] Epoch 4099, Mean Error: -0.095
2018-10-21 19:43:28,036 [INFO] Epoch 4199, Mean Error: -0.093
2018-10-21 19:44:28,316 [INFO] Epoch 4299, Mean Error: -0.097
2018-10-21 19:45:28,752 [INFO] Epoch 4399, Mean Error: -0.096
2018-10-21 19:46:29,058 [INFO] Epoch 4499, Mean Error: -0.094
2018-10-21 19:47:29,332 [INFO] Epoch 4599, Mean Error: -0.094
2018-10-21 19:48:29,624 [INFO] Epoch 4699, Mean Error: -0.093
2018-10-21 19:49:29,940 [INFO] Epoch 4799, Mean Error: -0.094
2018-10-21 19:50:30,573 [INFO] Epoch 4899, Mean Error: -0.094
2018-10-21 19:51:31,039 [INFO] Epoch 4999, Mean Error: -0.094
2018-10-21 19:51:43,127 [INFO] EVALUATION, Mean Error: -0.093
2018-10-21 19:52:43,417 [INFO] Epoch 5099, Mean Error: -0.096
2018-10-21 19:53:43,863 [INFO] Epoch 5199, Mean Error: -0.095
2018-10-21 19:54:44,195 [INFO] Epoch 5299, Mean Error: -0.094
2018-10-21 19:55:44,536 [INFO] Epoch 5399, Mean Error: -0.095
2018-10-21 19:56:44,975 [INFO] Epoch 5499, Mean Error: -0.094
2018-10-21 19:57:45,267 [INFO] Epoch 5599, Mean Error: -0.095
2018-10-21 19:58:45,594 [INFO] Epoch 5699, Mean Error: -0.095
2018-10-21 19:59:45,905 [INFO] Epoch 5799, Mean Error: -0.093
2018-10-21 20:00:46,181 [INFO] Epoch 5899, Mean Error: -0.095
2018-10-21 20:01:46,561 [INFO] Epoch 5999, Mean Error: -0.097
2018-10-21 20:01:58,678 [INFO] EVALUATION, Mean Error: -0.097
2018-10-21 20:01:58,678 [INFO] Save current model ...
2018-10-21 20:02:59,485 [INFO] Epoch 6099, Mean Error: -0.095
2018-10-21 20:03:59,909 [INFO] Epoch 6199, Mean Error: -0.094
2018-10-21 20:05:00,228 [INFO] Epoch 6299, Mean Error: -0.095
2018-10-21 20:06:00,692 [INFO] Epoch 6399, Mean Error: -0.096
2018-10-21 20:07:01,318 [INFO] Epoch 6499, Mean Error: -0.097
2018-10-21 20:08:01,982 [INFO] Epoch 6599, Mean Error: -0.097
2018-10-21 20:09:02,621 [INFO] Epoch 6699, Mean Error: -0.097
2018-10-21 20:10:03,037 [INFO] Epoch 6799, Mean Error: -0.094
2018-10-21 20:11:03,591 [INFO] Epoch 6899, Mean Error: -0.096
2018-10-21 20:12:04,021 [INFO] Epoch 6999, Mean Error: -0.093
2018-10-21 20:12:16,106 [INFO] EVALUATION, Mean Error: -0.090
2018-10-21 20:13:16,583 [INFO] Epoch 7099, Mean Error: -0.094
2018-10-21 20:14:17,212 [INFO] Epoch 7199, Mean Error: -0.093
2018-10-21 20:15:17,640 [INFO] Epoch 7299, Mean Error: -0.096
2018-10-21 20:16:18,058 [INFO] Epoch 7399, Mean Error: -0.095
2018-10-21 20:17:18,471 [INFO] Epoch 7499, Mean Error: -0.096
2018-10-21 20:18:19,028 [INFO] Epoch 7599, Mean Error: -0.095
2018-10-21 20:19:19,499 [INFO] Epoch 7699, Mean Error: -0.096
2018-10-21 20:20:20,026 [INFO] Epoch 7799, Mean Error: -0.096
2018-10-21 20:21:20,725 [INFO] Epoch 7899, Mean Error: -0.097
2018-10-21 20:22:21,193 [INFO] Epoch 7999, Mean Error: -0.092
2018-10-21 20:22:33,315 [INFO] EVALUATION, Mean Error: -0.098
2018-10-21 20:22:33,315 [INFO] Save current model ...
2018-10-21 20:23:34,144 [INFO] Epoch 8099, Mean Error: -0.097
2018-10-21 20:24:34,628 [INFO] Epoch 8199, Mean Error: -0.097
2018-10-21 20:25:35,281 [INFO] Epoch 8299, Mean Error: -0.094
2018-10-21 20:26:35,763 [INFO] Epoch 8399, Mean Error: -0.096
2018-10-21 20:27:36,272 [INFO] Epoch 8499, Mean Error: -0.093
2018-10-21 20:28:36,751 [INFO] Epoch 8599, Mean Error: -0.096
2018-10-21 20:29:37,267 [INFO] Epoch 8699, Mean Error: -0.097
2018-10-21 20:30:37,878 [INFO] Epoch 8799, Mean Error: -0.095
2018-10-21 20:31:38,555 [INFO] Epoch 8899, Mean Error: -0.094
2018-10-21 20:32:39,070 [INFO] Epoch 8999, Mean Error: -0.096
2018-10-21 20:32:51,197 [INFO] EVALUATION, Mean Error: -0.096
2018-10-21 20:33:51,698 [INFO] Epoch 9099, Mean Error: -0.097
2018-10-21 20:34:52,176 [INFO] Epoch 9199, Mean Error: -0.096
2018-10-21 20:35:52,585 [INFO] Epoch 9299, Mean Error: -0.094
2018-10-21 20:36:52,995 [INFO] Epoch 9399, Mean Error: -0.097
2018-10-21 20:37:53,550 [INFO] Epoch 9499, Mean Error: -0.099
2018-10-21 20:38:54,076 [INFO] Epoch 9599, Mean Error: -0.097
2018-10-21 20:39:54,454 [INFO] Epoch 9699, Mean Error: -0.098
2018-10-21 20:40:54,911 [INFO] Epoch 9799, Mean Error: -0.091
2018-10-21 20:41:55,231 [INFO] Epoch 9899, Mean Error: -0.095
2018-10-21 20:42:55,528 [INFO] Epoch 9999, Mean Error: -0.096
2018-10-21 20:43:07,556 [INFO] EVALUATION, Mean Error: -0.097
