RunID_vial,_rxn_M_inorganic,_rxn_M_organic,_rxn_M_acid,_rxn_organic-inchikey,_rxn_mixingtime1S,_rxn_mixingtime2S,_rxn_reactiontimeS,_rxn_stirrateRPM,_rxn_temperatureC,_feat_AtomCount_C,_feat_AtomCount_N,_feat_AvgPol,_feat_MolPol,_feat_Refractivity,_feat_bpKa1,_feat_AliphaticRingCount,_feat_AromaticRingCount,_feat_Aliphatic AtomCount,_feat_AromaticAtomCount,_feat_BondCount,_feat_CarboaliphaticRingCount,_feat_CarboaromaticRingCount,_feat_CarboRingCount,_feat_ChainAtomCount,_feat_ChiralCenterCount,_feat_RingAtomCount,_feat_SmallestRingSize,_feat_LargestRingSize,_feat_fsp3,_feat_HeteroaliphaticRingCount,_feat_HeteroaromaticRing Count,_feat_RotatableBondCount,_feat_BalabanIndex,_feat_CyclomaticNumber,_feat_HyperWienerIndex,_feat_WienerIndex,_feat_WienerPolarity,_feat_MinimalProjectionArea,_feat_MaximalProjectionArea,_feat_MinimalProjectionRadius,_feat_MaximalProjectionRadius,_feat_LengthPerpendicularToTheMinArea,_feat_LengthPerpendicularToTheMaxArea,_feat_VanderWaalsVolume,_feat_VanderWaalsSurfaceArea,_feat_ASA,_feat_ASA+,_feat_ASA-,_feat_ASA_H,_feat_ASA_P,_feat_PolarSurfaceArea,_feat_acceptorcount,_feat_Accsitecount,_feat_donorcount,_feat_donsitecount,_feat_sol_ph0,_feat_sol_ph1,_feat_sol_ph2,_feat_sol_ph3,_feat_sol_ph4,_feat_sol_ph5,_feat_sol_ph6,_feat_sol_ph7,_feat_sol_ph8,_feat_sol_ph9,_feat_sol_ph10,_feat_sol_ph11,_feat_sol_ph12,_feat_sol_ph13,_feat_sol_ph14,_feat_fr_NH2,_feat_fr_NH1,_feat_fr_NH0,_feat_fr_quatN,_feat_fr_ArN,_feat_fr_Ar_NH,_feat_fr_Imine,_feat_fr_amidine,_feat_fr_dihydropyridine,_feat_fr_guanido,_feat_fr_piperdine,_feat_fr_piperzine,_feat_fr_pyridine
10,0.099076271,0.377978814,7.793134181,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
11,0.869330537,0.688055369,4.274394295,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
12,1.245149329,1.010786913,4.274394295,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
13,0.529971171,1.83707027,2.583403604,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
14,0.610718797,0.830548872,6.622239098,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
15,1.400168852,1.115308197,4.7849,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
16,1.03297541,1.027298361,4.7849,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
17,0.32818018,1.220326126,2.583403604,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
18,0.189403904,0.773588589,6.612295796,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
19,0.941177049,0.902565574,4.7849,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
20,1.308370492,1.188285246,4.7849,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
21,0.62411943,1.147324421,2.886655971,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
22,0.353318991,0.76025816,6.809219585,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
23,1.112012966,1.241363047,5.031465154,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
24,0.748985413,1.41015235,5.031465154,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
25,0.025221034,0.120700535,2.886655971,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
26,0.026224368,0.102179792,6.819337296,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
27,0.754658023,1.405510535,5.031465154,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
28,1.117685575,1.168272285,5.031465154,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
29,0.440943431,0.752333942,2.277671533,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
30,0.536617602,1.023933232,6.400855842,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
31,1.216397572,1.129449165,6.400855842,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
32,0.876506829,0.911729894,6.400855842,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
33,0.225074653,0.601326389,3.456013889,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
34,0.269825581,0.958088663,7.210267442,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
35,1.10193913,0.978427826,3.462024348,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
36,1.491481739,1.172904348,3.462024348,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
37,0.754377532,1.70878453,2.127720074,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
38,0.454403053,0.770189313,6.298247328,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
39,1.242681667,1.235851667,4.400586667,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
40,0.870819699,1.109135225,4.407933222,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
41,0.128751748,0.228835664,3.317923077,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
42,0.148603801,0.700578947,7.11674269,QHJPGANWSLEMTI-UHFFFAOYSA-N,900,1200,12600,750,105,1,2,4.32,4.45,22.57,12.18,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,1.63,0,5,4,0,11.89,19.99,2.36,3.14,5.81,3.42,44.15,73.08,177.28,101.75,75.53,69.78,107.5,49.87,2,2,2,3,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,146.29,23.67,3.68,1.69,1.49,1,1,0,0,0,0,0,0,0,0,0,0,0
